	GW3005	GW3010	GW3014	GW3018	GW3030	GW3047	GW3065	GW3068	GW3074	GW3077	GW3078	GW3092	GW3107	GW3108	GW3119	GW3122	GW3123	GW3124	GW3125	GW3127	GW3134	GW3145	GW3217	GW3232	GW3233	GW3234	GW3236	GW3240	GW3246	GW3248	GW3250	GW3257	GW3263	GW3265	GW3294	GW3314	GW3320	GW3364	GW3387	GW3389	GW3390	GW3398	GW3405	GW3406	GW3407	GW3409	GW3410	GW3413	GW3415	GW3420	GW3430	GW3434	GW3443	GW3448	GW3479	GW3487	GW3488	GW3490	GW3491	GW3496	GW3523	GW3528	GW3543	GW3574	GW3576	GW3582	GW4082	GW4094	GW4109	GW4146	GW4147	GW4187	GW4191	GW4193	GW4194	GW4229	GW4246	GW4249	GW4253	GW4283	GW4284	GW4285	GW4286	GW4293	GW4298	GW4299	GW4301	GW4305	GW4310	GW4339	GW4340	GW4374	GW4377	GW4409	GW4420	GW4431	GW4433	GW4434	GW4436	GW4439	GW4440	GW4476	GW4507	GW5796	GW5831	GW5850	GW5854	GW5871	GW5876	GW5878	GW5888	GW5889	GW5894	GW5907	GW5910	GW5915	GW5926	GW5930	GW5936	GW5943	GW5967	GW5970	GW5971	GW5973	GW5998	GW6015	GW6016	GW6018	GW6026	GW6053	GW6084	GW6087	GW6100	GW6114	GW6134	GW6139	GW6141	GW6169	GW6176	GW6186	GW6193	GW6197	GW6198	GW6202
ASV_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2238	7793	3683	101	3307	3102	2972	12	0	0	0	0	0	596	4697	0	26	809	0	0	633	8	0	0	0	0	0	2426	1366	0	0	3331	2874	0	0	2884	0	0	5058	3139	0	0	0	0	12	0	29378	17480	7251	0	0	0	0	19656	39601	10576	0	0	0	0	23441	0	0	0	0	0	21675	49	0	0	0	30	0	0	30	427	21	67	4722	21	0	0	1303	19	2617	0	0	10	587	0	27	10	0	21	4224	314	0	0	0	0	0	0	0	0	2322	0	0	818	0	0	0	41	2703	0	0	0	0	724	0	0	0
ASV_2	278	4423	1475	1191	103	5482	498	2111	2300	3788	1708	407	2501	2452	13	14	551	8	1022	474	961	2944	1146	19	36	53	334	19	12	0	162	0	0	48	150	55	0	504	386	48	111	300	352	18	209	290	668	399	464	322	0	0	16	128	235	28	13	92	0	16	353	72	296	232	489	473	22	3112	1617	458	670	22351	62	0	15	5134	3228	3244	6703	245	28	3214	36	2041	1148	2951	1665	11185	2352	1738	12748	0	12172	2201	9694	198	603	4410	1956	3416	1793	5769	10742	1823	151	70	1548	123	1061	138	291	1944	872	244	0	276	379	123	15476	638	104	1376	436	271	690	94	0	503	224	560	113	314	266	583	150	29	58	1364	1179	79	0	184	0	19
ASV_3	73	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	5	0	0	0	7010	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	5	0	0	0	0	0	5707	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2042	0	0	9410	17	0	0	0	0	26	0	25	15024	0	0	0	1306	0	4078	0	0	0	0	0	11	0	38	0	53199	45	0	4396	688	0	2680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8067	3117	7021	0	5079	9233	5244	0	0	0	0	0	0	1886	4335	0	34	1783	0	0	3481	0	32	0	4	0	0	3239	2790	0	0	6614	2891	0	0	3564	0	0	7125	4968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2435	9	2609	0	0	0	699	0	0	14	0	32	1904	404	0	0	11	0	0	0	0	0	0	0	0	5124	0	0	0	70	2230	0	0	0	0	1161	0	0	0
ASV_5	29	1314	522	459	0	1078	278	605	749	2564	956	105	947	788	24	43	2188	0	2408	2807	2184	1492	0	18	31	31	116	0	0	0	89	0	0	0	0	0	0	59	20	75	0	360	263	12	203	233	360	414	803	365	0	0	12	105	0	0	0	20	0	0	297	0	8	68	250	102	50	6926	1000	1688	2721	1531	59	13	31	2216	462	438	567	254	49	5079	65	1420	720	2415	1095	1505	194	175	1440	0	2131	604	91	0	27	107	40	85	48	39	0	0	0	0	0	0	0	0	0	43	0	20	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1995	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2905	5643	14	5920	0	0	0	0	3222	8432	16250	0	0	0	0	0	0	0	0	0	0	5274	124	0	14	30	0	0	0	12	0	0	0	8	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	0	5	44940	8	0	0	0	0	0	0	0	0	29	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1048	3689	128	16	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ASV_8	38	778	556	384	0	662	109	725	760	517	536	88	1118	457	0	17	477	0	852	516	884	830	231	0	0	0	88	0	0	0	61	0	0	20	0	0	0	84	47	47	0	81	100	0	83	107	172	247	430	177	0	0	0	57	100	0	0	39	0	0	171	22	38	68	92	60	14	1735	618	287	486	344	0	0	19	1251	705	938	1594	98	10	2177	0	695	485	974	821	1642	230	494	2234	0	1637	594	1755	0	41	514	303	434	349	834	1603	1709	60	27	643	0	84	0	0	68	0	0	0	53	232	51	4394	718	0	611	167	29	545	0	0	134	0	161	0	64	91	143	37	12	41	257	341	26	0	0	0	0
ASV_9	0	0	0	0	0	74	10044	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	15	18854	0	0	0	214	0	34	0	15675	70	17	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	0	0	15	9402	0	0	0	0	0	0	0	0	6870	7564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9789	0	0	0	0	0	0	0	0	0	0	24	0	989	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3781	0	0	0	0	0	0	0	0	0	0	0	0	0	0
